country;category
Austria;developed
Belgium;developed
Denmark;developed
Finland;developed
France;developed
Germany;developed
Greece;developed
Ireland;developed
italy;developed
Luxembourg;developed
Netherlands;developed
Portugal;developed
Spain;developed
Sweden;developed
United Kingdom;developed
Bulgaria;developed
Croatia;developed
Cyprus;developed
Czech Republic;developed
Estonia;developed
Hungary;developed
Latvia;developed
Lithuania;developed
Malta;developed
Poland;developed
Romania;developed
Slovakia;developed
Slovenia;developed
Iceland;developed
Norway;developed
Switzerland;developed
Australia;developed
Canada;developed
Japan;developed
New Zealand;developed
United States;developed
Albania;developing
Bosnia and Herzegovina;developing
Serbia ;developing
The former Yugoslav Republic of Macedonia ;developing
Armenia;developing
Azerbaijan;developing
Belarus;developing
Georgia;developing
Kazakhstan;developing
Kyrgyzstan;developing
Republic of Moldova;developing
Russian Federation;developing
Tajikistan;developing
Turkmenistan;developing
Ukraine;developing
Uzbekistan;developing
Algeria;developing
Egypt;developing
Libya;developing
Mauritania;developing
Morocco;developing
Sudan;developing
Tunisia;developing
Cameroon;developing
Central African Republic;developing
Chad;developing
Congo;developing
Equatorial Guinea;developing
Gabon;developing
Sao Tome and Principe;developing
Burundi;developing
Comoros;developing
Democratic Republic of the Congo;developing
Djibouti;developing
Eritrea;developing
Ethiopia;developing
Kenya;developing
Madagascar;developing
Rwanda;developing
Somalia;developing
Uganda;developing
United Republic of Tanzania;developing
Angola;developing
Botwswana;developing
Lesotho;developing
Malawi;developing
Mauritius;developing
Mozambique;developing
Namibia;developing
South Africa;developing
Zambia;developing
Zimbabwe;developing
Benin;developing
Burkina Faso;developing
Cabo Verde;developing
Côte d’Ivoire;developing
Gambia;developing
Ghana;developing
Guinea;developing
Guinea-Bissau;developing
Liberia;developing
Mali;developing
Niger;developing
Nigeria;developing
Senegal;developing
Sierra Leone;developing
Togo;developing
Brunei Darussalam;developing
China;developing
Hong Kong SAR;developing
Indonesia;developing
Malysia;developing
Myanmar;developing
Papua New Guinea;developing
Philippines;developing
Republic of Korea;developing
Singapore;developing
Taiwan Province of China;developing
Thhailand;developing
Viet Nam;developing
Bangladesh;developing
India;developing
Iran;developing
Nepal;developing
Pakistan;developing
Sri Lanka;developing
Bahrain;developing
Iraq;developing
Israel;developing
Jordan;developing
Kuwait;developing
Lebanon;developing
Oman;developing
Qatar;developing
Saudi Arabia;developing
Syrian Arab Republic;developing
Turkey;developing
United Arab Emirates;developing
Yemen;developing
Barbados;developing
Cuba;developing
Dominican Republic;developing
Guyana;developing
Haiti;developing
Trinidad and Tobago;developing
Costa Rica;developing
El Salvador;developing
Guatemala;developing
Honduras;developing
Mexico;developing
Nicaragua;developing
Panama;developing
Argentina;developing
Bolivia;developing
Brazil;developing
Chile;developing
Colombia;developing
Ecuador;developing
Paraguay;developing
Peru;developing
Uruguay;developing
Venezuela;developing
Bermuda;developed
Bahamas;developing
South Korea;developed
Puerto Rico;developing
Jamaica;developing
Thailand;developing
Cambodia;developing
Tanzania;developing
Malaysia;developing
Mongolia;developing
Montenegro;developing
Macedonia;developing
Moldova;developing
Kosovo;developing